campus,building,floor,location,location_number,space_type,last_people_traffic,last_inspection_score,prev_people_traffic,prev_inspection_score,time_between_cleaning,people_traffic_diff
Compass HQ,2300 (CC1),1st Floor,100 WELLNESS CENTER,LOC0073819,Medical/Wellness,8,77,4,78,24,4
Compass HQ,2300 (CC1),1st Floor,1008B TR TRAINING ROOM,LOC0073820,Conference Room,10,86,5,93,4,5
Compass HQ,2300 (CC1),1st Floor,108A TRAINING ROOM,LOC0073807,Conference Room,6,88,9,85,4,-3
Compass HQ,2300 (CC1),1st Floor,150 HARDWARE TRANISITON,LOC0073808,Lab,9,84,2,99,24,7
Compass HQ,2300 (CC1),1st Floor,150 STORAGE,LOC0073816,Storage,26,77,29,72,24,-3
Compass HQ,2300 (CC1),1st Floor,1501 OPEN OFFICE,LOC0073818,Office Area,27,77,18,81,24,9
Compass HQ,2300 (CC1),1st Floor,1502-1517 OFFICE SPACE,LOC0073805,Office Area,13,91,8,83,24,5
Compass HQ,2300 (CC1),1st Floor,152 OFFICE,LOC0073801,Office,3,96,4,98,24,-1
Compass HQ,2300 (CC1),1st Floor,153 OFFICE,LOC0073815,Office,1,97,5,93,24,-4
Compass HQ,2300 (CC1),1st Floor,154 OFFICE,LOC0073802,Office,3,95,4,98,24,-1
Compass HQ,2300 (CC1),1st Floor,155 OFFICE,LOC0073822,Office,2,86,5,89,24,-3
Compass HQ,2300 (CC1),1st Floor,1550-1557 OFFICE SPACE,LOC0073809,Office Area,3,94,13,80,24,-10
Compass HQ,2300 (CC1),1st Floor,1558-1574 OFFICE SPACE,LOC0073821,Office Area,19,93,13,98,24,6
Compass HQ,2300 (CC1),1st Floor,156 OFFICE,LOC0073811,Office,5,94,1,95,24,4
Compass HQ,2300 (CC1),1st Floor,157 OFFICE,LOC0073823,Office,1,87,3,96,24,-2
Compass HQ,2300 (CC1),1st Floor,1ST FLR MEN'S RESTROOM,LOC0078478,Restroom,16,79,23,95,24,-7
Compass HQ,2300 (CC1),1st Floor,1st FLR WOMEN'S RESTROOM,LOC0078479,Restroom,70,95,16,88,24,54
Compass HQ,2300 (CC1),1st Floor,ELEVATOR 1,LOC0073812,Elevator,6,92,5,95,4,1
Compass HQ,2300 (CC1),1st Floor,ELEVATOR 2,LOC0073824,Elevator,3,90,5,91,4,-2
Compass HQ,2300 (CC1),1st Floor,ELEVATOR 3,LOC0073813,Elevator,3,97,5,96,4,-2
Compass HQ,2300 (CC1),1st Floor,ELEVATOR 4,LOC0073825,Elevator,4,97,4,91,4,0
Compass HQ,2300 (CC1),1st Floor,FILING CABINETS,LOC0073810,General,30,98,18,96,24,12
Compass HQ,2300 (CC1),1st Floor,FITNESS CENTER,LOC0073803,Gym/Workout,5,77,4,74,24,1
Compass HQ,2300 (CC1),1st Floor,FITNESS CENTER MEN'S LOCKER ROOM,LOC0078472,Restroom,28,100,71,96,24,-43
Compass HQ,2300 (CC1),1st Floor,FITNESS CENTER WOMEN'S LOCKER ROOM,LOC0078477,Restroom,71,83,7,78,24,64
Compass HQ,2300 (CC1),1st Floor,FREIGHT ELEVATOR LOBBY,LOC0073817,Lobby,17,73,25,80,24,-8
Compass HQ,2300 (CC1),1st Floor,MAIN LOBBY,LOC0073806,Lobby,27,95,6,81,24,21
Compass HQ,2300 (CC1),1st Floor,S1 STAIR 1,LOC0073804,Stairway,8,90,24,95,24,-16
Compass HQ,2300 (CC1),1st Floor,S2 STAIR 2,LOC0073814,Stairway,28,85,15,97,24,13
Compass HQ,2300 (CC1),2nd Floor,200 OFFICE,LOC0073834,Office,2,95,3,94,24,-1
Compass HQ,2300 (CC1),2nd Floor,201 HUDDLE ROOM,LOC0073847,Small Conf/Phone/Collab/Enclave,2,78,4,73,8,-2
Compass HQ,2300 (CC1),2nd Floor,202 OFFICE,LOC0073835,Office,1,89,4,85,24,-3
Compass HQ,2300 (CC1),2nd Floor,203 OFFICE,LOC0073848,Office,1,86,3,92,24,-2
Compass HQ,2300 (CC1),2nd Floor,206 STORAGE/DATA ROOM,LOC0073833,Electrical/Voice/Data Room,29,83,24,94,24,5
Compass HQ,2300 (CC1),2nd Floor,207 OFFICE,LOC0073849,Office,5,93,1,97,24,4
Compass HQ,2300 (CC1),2nd Floor,2101-2117 OPEN OFFICE,LOC0073830,Office Area,14,95,28,91,24,-14
Compass HQ,2300 (CC1),2nd Floor,2118-2127 OPEN OFFICE,LOC0073842,Office Area,2,86,17,89,24,-15
Compass HQ,2300 (CC1),2nd Floor,240 DATA CENTER (RESTRICTED AREA),LOC0073841,Electrical/Voice/Data Room,29,95,1,83,24,28
Compass HQ,2300 (CC1),2nd Floor,2400-2412 OPEN OFFICE,LOC0073840,Office Area,2,81,11,79,24,-9
Compass HQ,2300 (CC1),2nd Floor,2ND FLR COLLABORATION AREA,LOC0073843,Office Area,7,90,14,90,24,-7
Compass HQ,2300 (CC1),2nd Floor,2ND FLR ELECTRICAL ROOM,LOC0073831,Electrical/Voice/Data Room,10,81,2,73,24,8
Compass HQ,2300 (CC1),2nd Floor,2ND FLR ELEVATOR LOBBY,LOC0073845,Lobby,18,99,3,89,24,15
Compass HQ,2300 (CC1),2nd Floor,2ND FLR JANITOR'S CLOSET,LOC0073837,Janitor Room,18,94,27,85,24,-9
Compass HQ,2300 (CC1),2nd Floor,2ND FLR MEN'S RESTROOM,LOC0073827,Restroom,11,77,60,75,24,-49
Compass HQ,2300 (CC1),2nd Floor,2ND FLR RESTROOM VESTIBULE,LOC0073829,General,2,86,24,75,24,-22
Compass HQ,2300 (CC1),2nd Floor,2ND FLR WOMEN'S RESTROOM,LOC0073838,Restroom,24,75,31,84,24,-7
Compass HQ,2300 (CC1),2nd Floor,BREAK AREA,LOC0073836,Cafeteria/Breakroom,8,82,12,85,24,-4
Compass HQ,2300 (CC1),2nd Floor,ELEVATOR 1,LOC0073828,Elevator,3,99,6,97,4,-3
Compass HQ,2300 (CC1),2nd Floor,ELEVATOR 2,LOC0073839,Elevator,1,96,5,88,4,-4
Compass HQ,2300 (CC1),2nd Floor,ELEVATOR 3,LOC0073832,Elevator,4,95,5,92,4,-1
Compass HQ,2300 (CC1),2nd Floor,ELEVATOR 4,LOC0073844,Elevator,1,95,4,94,4,-3
Compass HQ,2300 (CC1),2nd Floor,FREIGHT ELEVATOR LOBBY,LOC0073846,Lobby,11,84,27,84,24,-16
Compass HQ,2300 (CC1),2nd Floor,S1 STAIR 1,LOC0073850,Stairway,30,83,7,90,24,23
Compass HQ,2300 (CC1),2nd Floor,S2 STAIR 2,LOC0073826,Stairway,12,87,28,90,24,-16
Compass HQ,2300 (CC1),3rd Floor,300 ELEVATOR LOBBY,LOC0073853,Lobby,9,74,24,90,24,-15
Compass HQ,2300 (CC1),3rd Floor,3001-3028 OPEN OFFICE,LOC0073916,Office Area,29,86,16,82,24,13
Compass HQ,2300 (CC1),3rd Floor,301 MOTHER'S ROOM/QUIET ROOM,LOC0073915,Mother's Room/Quiet Room,30,96,6,81,24,24
Compass HQ,2300 (CC1),3rd Floor,302 BREAKROOM/FILING NICHE,LOC0073882,Cafeteria/Breakroom,19,91,18,95,24,1
Compass HQ,2300 (CC1),3rd Floor,3029-3126 OPEN OFFICE,LOC0073851,Office Area,19,95,29,79,24,-10
Compass HQ,2300 (CC1),3rd Floor,303 CHECK PRINTER,LOC0073864,Printer/Copier Area,9,95,29,87,24,-20
Compass HQ,2300 (CC1),3rd Floor,3036-3129 OPEN OFFICE,LOC0073897,Office Area,25,79,26,100,24,-1
Compass HQ,2300 (CC1),3rd Floor,3037-3064 OPEN OFFICE,LOC0073873,Office Area,4,99,8,99,24,-4
Compass HQ,2300 (CC1),3rd Floor,304 PRINTER/COPIER,LOC0073862,Printer/Copier Area,27,92,7,93,24,20
Compass HQ,2300 (CC1),3rd Floor,305 CORP PAYROLL,LOC0073896,Office,1,95,4,93,24,-3
Compass HQ,2300 (CC1),3rd Floor,306 OFFICE,LOC0073866,Office,4,94,4,89,24,0
Compass HQ,2300 (CC1),3rd Floor,3065-3070 OPEN OFFICE,LOC0073890,Office Area,26,96,7,98,24,19
Compass HQ,2300 (CC1),3rd Floor,307 OFFICE,LOC0073898,Office,1,91,5,97,24,-4
Compass HQ,2300 (CC1),3rd Floor,3071-3081 OPEN OFFICE,LOC0073876,Office Area,18,77,23,86,24,-5
Compass HQ,2300 (CC1),3rd Floor,308 OFFICE,LOC0073892,Office,4,93,1,87,24,3
Compass HQ,2300 (CC1),3rd Floor,3082-3093 OPEN OFFICE,LOC0073906,Office Area,29,84,28,76,24,1
Compass HQ,2300 (CC1),3rd Floor,309 OFFICE,LOC0073910,Office,2,92,2,88,24,0
Compass HQ,2300 (CC1),3rd Floor,3094-3105 OPEN OFFICE,LOC0073870,Office Area,21,87,4,75,24,17
Compass HQ,2300 (CC1),3rd Floor,3-1 - 3-4 OPEN OFFICE,LOC0073856,Office Area,28,88,7,75,24,21
Compass HQ,2300 (CC1),3rd Floor,310 OFFICE,LOC0073883,Office,1,90,5,95,24,-4
Compass HQ,2300 (CC1),3rd Floor,3106-3116 OPEN OFFICE,LOC0073887,Office Area,3,98,26,79,24,-23
Compass HQ,2300 (CC1),3rd Floor,311 OFFICE,LOC0073914,Office,3,97,3,97,24,0
Compass HQ,2300 (CC1),3rd Floor,3-11 OPEN OFFICE,LOC0073854,Office Area,29,75,13,89,24,16
Compass HQ,2300 (CC1),3rd Floor,3117-3122 OPEN OFFICE,LOC0073868,Office Area,3,93,13,87,24,-10
Compass HQ,2300 (CC1),3rd Floor,312 OFFICE,LOC0073881,Office,3,88,5,85,24,-2
Compass HQ,2300 (CC1),3rd Floor,313 OFFICE,LOC0073858,Office,1,86,3,95,24,-2
Compass HQ,2300 (CC1),3rd Floor,314 OFFICE,LOC0073859,Office,4,96,3,94,24,1
Compass HQ,2300 (CC1),3rd Floor,315 OFFICE,LOC0073891,Office,3,92,2,88,24,1
Compass HQ,2300 (CC1),3rd Floor,316 OFFICE,LOC0073855,Office,4,85,1,86,24,3
Compass HQ,2300 (CC1),3rd Floor,3-16 OPEN OFFICE,LOC0073902,Office Area,11,91,13,93,24,-2
Compass HQ,2300 (CC1),3rd Floor,3-17 - 3-18 OPEN OFFICE,LOC0073911,Office Area,10,75,23,87,24,-13
Compass HQ,2300 (CC1),3rd Floor,317 OFFICE,LOC0073886,Office,4,88,3,91,24,1
Compass HQ,2300 (CC1),3rd Floor,318 OFFICE,LOC0073903,Office,4,85,2,98,24,2
Compass HQ,2300 (CC1),3rd Floor,319 OFFICE,LOC0073871,Office,3,87,4,86,24,-1
Compass HQ,2300 (CC1),3rd Floor,320 PHONE,LOC0073884,Small Conf/Phone/Collab/Enclave,2,68,4,94,8,-2
Compass HQ,2300 (CC1),3rd Floor,321 PRINT/COPIER AREA,LOC0073872,Printer/Copier Area,26,74,11,72,24,15
Compass HQ,2300 (CC1),3rd Floor,322 IT CLOSET,LOC0073905,Electrical/Voice/Data Room,2,95,13,76,24,-11
Compass HQ,2300 (CC1),3rd Floor,323 BREAKROOM,LOC0073907,Cafeteria/Breakroom,17,95,14,89,24,3
Compass HQ,2300 (CC1),3rd Floor,324 CORRIDOR,LOC0073861,Hallway,19,85,16,75,24,3
Compass HQ,2300 (CC1),3rd Floor,327 CORRIDOR,LOC0073904,Hallway,11,89,28,82,24,-17
Compass HQ,2300 (CC1),3rd Floor,329 HUDDLE ROOM,LOC0073879,Small Conf/Phone/Collab/Enclave,4,83,4,94,8,0
Compass HQ,2300 (CC1),3rd Floor,332 COMMON AREA,LOC0073878,Common Area,20,87,23,74,24,-3
Compass HQ,2300 (CC1),3rd Floor,333 CORRIDOR,LOC0073889,Hallway,15,81,11,83,24,4
Compass HQ,2300 (CC1),3rd Floor,337 HUDDLE ROOM,LOC0073895,Small Conf/Phone/Collab/Enclave,1,88,4,90,8,-3
Compass HQ,2300 (CC1),3rd Floor,338 CORRIDOR,LOC0073900,Hallway,27,88,7,98,24,20
Compass HQ,2300 (CC1),3rd Floor,341 CONFERENCE ROOM,LOC0073899,Conference Room,5,96,1,94,4,4
Compass HQ,2300 (CC1),3rd Floor,342 OFFICE,LOC0073913,Office,3,95,1,100,24,2
Compass HQ,2300 (CC1),3rd Floor,343 OFFICE,LOC0073880,Office,2,97,5,85,24,-3
Compass HQ,2300 (CC1),3rd Floor,344 OFFICE,LOC0073912,Office,3,98,1,86,24,2
Compass HQ,2300 (CC1),3rd Floor,345 OFFICE,LOC0073877,Office,5,100,2,90,24,3
Compass HQ,2300 (CC1),3rd Floor,346 CORRIDOR,LOC0073867,Hallway,8,73,1,81,24,7
Compass HQ,2300 (CC1),3rd Floor,347 OFFICE,LOC0073874,Office,3,86,5,92,24,-2
Compass HQ,2300 (CC1),3rd Floor,348 OFFICE,LOC0073908,Office,3,96,5,97,24,-2
Compass HQ,2300 (CC1),3rd Floor,349 OFFICE,LOC0073875,Office,4,91,2,89,24,2
Compass HQ,2300 (CC1),3rd Floor,350 OFFICE,LOC0073909,Office,2,92,4,98,24,-2
Compass HQ,2300 (CC1),3rd Floor,545A VESTIBULE,LOC0073918,General,10,82,24,75,24,-14
Compass HQ,2300 (CC1),3rd Floor,549 JANITOR CLOSET,LOC0073863,Janitor Room,4,96,13,91,24,-9
Compass HQ,2300 (CC1),3rd Floor,AVENUE C,LOC0073869,Vending/Ave C,15,99,23,79,24,-8
Compass HQ,2300 (CC1),3rd Floor,E302 ELECTRICAL ROOM,LOC0073888,Electrical/Voice/Data Room,20,90,11,91,24,9
Compass HQ,2300 (CC1),3rd Floor,E303 WOMEN'S RESTROOM,LOC0073865,Restroom,39,89,83,90,24,-44
Compass HQ,2300 (CC1),3rd Floor,E304 MEN'S RESTROOM,LOC0073894,Restroom,89,85,91,98,24,-2
Compass HQ,2300 (CC1),3rd Floor,ELEVATOR 1,LOC0073893,Elevator,1,91,1,90,4,0
Compass HQ,2300 (CC1),3rd Floor,ELEVATOR 2,LOC0073860,Elevator,2,96,5,95,4,-3
Compass HQ,2300 (CC1),3rd Floor,ELEVATOR 3,LOC0073852,Elevator,1,97,2,100,4,-1
Compass HQ,2300 (CC1),3rd Floor,ELEVATOR 4,LOC0073885,Elevator,2,89,1,100,4,1
Compass HQ,2300 (CC1),3rd Floor,FREIGHT ELEVATOR LOBBY,LOC0073857,Lobby,21,97,2,90,24,19
Compass HQ,2300 (CC1),3rd Floor,S1 STAIR 1,LOC0073901,Stairway,25,93,17,73,24,8
Compass HQ,2300 (CC1),3rd Floor,S2 STAIR 2,LOC0073917,Stairway,13,100,6,100,24,7
Compass HQ,2300 (CC1),4th Floor,4 S3 STAIR 3,LOC0073928,Stairway,24,91,30,90,24,-6
Compass HQ,2300 (CC1),4th Floor,400 ELEVATOR LOBBY,LOC0073938,Lobby,29,76,12,99,24,17
Compass HQ,2300 (CC1),4th Floor,4001-4028 OPEN OFFICE,LOC0073953,Office Area,2,81,19,89,24,-17
Compass HQ,2300 (CC1),4th Floor,401A JANITOR CLOSET,LOC0073966,Janitor Room,26,78,10,73,24,16
Compass HQ,2300 (CC1),4th Floor,401B WELLNESS,LOC0073982,Medical/Wellness,18,99,4,74,24,14
Compass HQ,2300 (CC1),4th Floor,402 COFFEE BAR,LOC0073932,Cafeteria/Breakroom,10,82,8,84,24,2
Compass HQ,2300 (CC1),4th Floor,4029-4034 OPEN OFFICE,LOC0073980,Office Area,22,84,6,100,24,16
Compass HQ,2300 (CC1),4th Floor,403 PHONE,LOC0073961,Small Conf/Phone/Collab/Enclave,1,96,4,76,8,-3
Compass HQ,2300 (CC1),4th Floor,4035-4036 / 4117-4120 OPEN OFFICE,LOC0073927,Office Area,28,78,19,98,24,9
Compass HQ,2300 (CC1),4th Floor,4037-4064 OPEN OFFICE,LOC0073960,Office Area,15,84,2,75,24,13
Compass HQ,2300 (CC1),4th Floor,404 PRINTER/COPIER AREA,LOC0073920,Printer/Copier Area,8,73,27,75,24,-19
Compass HQ,2300 (CC1),4th Floor,405 STORAGE,LOC0073955,Storage,9,75,25,83,24,-16
Compass HQ,2300 (CC1),4th Floor,406 OFFICE,LOC0073923,Office,1,94,2,87,24,-1
Compass HQ,2300 (CC1),4th Floor,4065-4070 OPEN OFFICE,LOC0073922,Office Area,5,87,3,91,24,2
Compass HQ,2300 (CC1),4th Floor,407 OFFICE,LOC0073957,Office,1,99,3,90,24,-2
Compass HQ,2300 (CC1),4th Floor,4073-4089 OPEN OFFICE,LOC0073978,Office Area,29,80,15,76,24,14
Compass HQ,2300 (CC1),4th Floor,408 OFFICE,LOC0073925,Office,1,92,5,92,24,-4
Compass HQ,2300 (CC1),4th Floor,409 OFFICE,LOC0073944,Office,1,97,1,86,24,0
Compass HQ,2300 (CC1),4th Floor,4-1 - 4-4 OPEN OFFICE,LOC0073954,Office Area,29,86,19,83,24,10
Compass HQ,2300 (CC1),4th Floor,410 OFFICE,LOC0073962,Office,3,98,4,88,24,-1
Compass HQ,2300 (CC1),4th Floor,4106-4116 OPEN OFFICE,LOC0073946,Office Area,1,97,30,90,24,-29
Compass HQ,2300 (CC1),4th Floor,411 OFFICE,LOC0073921,Office,3,91,1,91,24,2
Compass HQ,2300 (CC1),4th Floor,412 OFFICE,LOC0073983,Office,5,89,2,97,24,3
Compass HQ,2300 (CC1),4th Floor,4-13 - 4-18 OPEN OFFICE,LOC0073947,Office Area,2,87,6,99,24,-4
Compass HQ,2300 (CC1),4th Floor,413 CONFERENCE ROOM,LOC0073950,Conference Room,10,86,10,97,4,0
Compass HQ,2300 (CC1),4th Floor,414 CONFERENCE ROOM,LOC0073952,Conference Room,7,91,1,89,4,6
Compass HQ,2300 (CC1),4th Floor,415 CONFERENCE ROOM,LOC0073981,Conference Room,1,85,9,95,4,-8
Compass HQ,2300 (CC1),4th Floor,415A CORRIDOR,LOC0073926,Hallway,8,90,24,96,24,-16
Compass HQ,2300 (CC1),4th Floor,416 AVENUE C,LOC0073984,Vending/Ave C,23,84,6,98,24,17
Compass HQ,2300 (CC1),4th Floor,417 CONFERENCE ROOM,LOC0073959,Conference Room,10,87,9,85,4,1
Compass HQ,2300 (CC1),4th Floor,418 CONFERENCE ROOM,LOC0073942,Conference Room,3,88,10,96,4,-7
Compass HQ,2300 (CC1),4th Floor,419 OFFICE,LOC0073930,Office,1,100,3,88,24,-2
Compass HQ,2300 (CC1),4th Floor,420 OFFICE,LOC0073958,Office,2,87,4,87,24,-2
Compass HQ,2300 (CC1),4th Floor,421 OFFICE,LOC0073949,Office,2,99,4,90,24,-2
Compass HQ,2300 (CC1),4th Floor,422 IT CLOSET,LOC0073924,Electrical/Voice/Data Room,15,87,26,90,24,-11
Compass HQ,2300 (CC1),4th Floor,423 BREAK AREA,LOC0073969,Cafeteria/Breakroom,7,80,23,91,24,-16
Compass HQ,2300 (CC1),4th Floor,423A RECEIVING/STORAGE,LOC0073943,Storage,2,74,29,73,24,-27
Compass HQ,2300 (CC1),4th Floor,424 OFFICE,LOC0073976,Office,4,91,1,98,24,3
Compass HQ,2300 (CC1),4th Floor,425 OFFICE,LOC0073941,Office,5,87,2,97,24,3
Compass HQ,2300 (CC1),4th Floor,426 OFFICE,LOC0073975,Office,5,93,1,88,24,4
Compass HQ,2300 (CC1),4th Floor,427 CORRIDOR,LOC0073964,Hallway,12,93,5,86,24,7
Compass HQ,2300 (CC1),4th Floor,427 CORRIDOR,LOC0073985,Hallway,1,79,10,95,24,-9
Compass HQ,2300 (CC1),4th Floor,427 PRINT/COPY,LOC0073956,Printer/Copier Area,21,83,28,98,24,-7
Compass HQ,2300 (CC1),4th Floor,429 HUDDLE ROOM,LOC0073919,Conference Room,1,95,2,98,4,-1
Compass HQ,2300 (CC1),4th Floor,437 OFFICE,LOC0073979,Office,1,87,5,91,24,-4
Compass HQ,2300 (CC1),4th Floor,438 CORRIDOR,LOC0073937,Hallway,8,82,9,93,24,-1
Compass HQ,2300 (CC1),4th Floor,442 OFFICE,LOC0073968,Office,5,90,3,85,24,2
Compass HQ,2300 (CC1),4th Floor,443 OFFICE,LOC0073933,Office,3,87,5,89,24,-2
Compass HQ,2300 (CC1),4th Floor,444 OFFICE,LOC0073967,Office,2,94,1,89,24,1
Compass HQ,2300 (CC1),4th Floor,445A HUDDLE ROOM,LOC0073939,Small Conf/Phone/Collab/Enclave,2,89,2,79,8,0
Compass HQ,2300 (CC1),4th Floor,445B HUDDLE ROOM,LOC0073972,Small Conf/Phone/Collab/Enclave,1,81,4,98,8,-3
Compass HQ,2300 (CC1),4th Floor,445C VESTIBULE,LOC0073929,General,2,82,3,85,24,-1
Compass HQ,2300 (CC1),4th Floor,446 OFFICE,LOC0073970,Office,4,96,3,90,24,1
Compass HQ,2300 (CC1),4th Floor,447 OFFICE,LOC0073935,Office,1,96,1,89,24,0
Compass HQ,2300 (CC1),4th Floor,448 OFFICE,LOC0073948,Office,1,89,1,86,24,0
Compass HQ,2300 (CC1),4th Floor,4-7 - 4-12 OPEN OFFICE,LOC0073945,Office Area,18,78,22,95,24,-4
Compass HQ,2300 (CC1),4th Floor,E401 FREIGHT ELEVATOR LOBBY,LOC0073971,Lobby,22,78,17,92,24,5
Compass HQ,2300 (CC1),4th Floor,E402 ELECTRICAL ROOM,LOC0073936,Electrical/Voice/Data Room,15,82,25,86,24,-10
Compass HQ,2300 (CC1),4th Floor,E403 WOMEN'S RESTROOM,LOC0073931,Restroom,39,82,71,78,24,-32
Compass HQ,2300 (CC1),4th Floor,E404 MEN'S RESTROOM,LOC0073965,Restroom,70,85,81,88,24,-11
Compass HQ,2300 (CC1),4th Floor,ELEVATOR 1,LOC0073934,Elevator,3,100,1,91,4,2
Compass HQ,2300 (CC1),4th Floor,ELEVATOR 2,LOC0073963,Elevator,1,98,1,99,4,0
Compass HQ,2300 (CC1),4th Floor,ELEVATOR 3,LOC0073974,Elevator,2,93,3,89,4,-1
Compass HQ,2300 (CC1),4th Floor,ELEVATOR 4,LOC0073973,Elevator,4,92,6,99,4,-2
Compass HQ,2300 (CC1),4th Floor,S1 STAIR 1,LOC0073977,Stairway,14,94,18,90,24,-4
Compass HQ,2300 (CC1),4th Floor,S2 STAIR 2,LOC0073951,Stairway,5,79,26,83,24,-21
Compass HQ,2300 (CC1),4th Floor,VOID 1,LOC0073940,Empty Space/Non-usable,27,96,1,86,24,26
Compass HQ,2300 (CC1),5th Floor,5 S1 STAIR 1,LOC0074052,Stairway,24,81,13,92,24,11
